T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.9,25.1,6.6,1021.3,65,1.1,2,7.6,255.875
15.5,24.1,7.7,1021,71,1.1,3.5,11.1,217.08333333333334
14.9,22.8,8,1018.4,73,1.1,5.9,13,229.16666666666666
18.3,24.7,11.5,1018.1,85,0.5,1.1,7.6,298.4583333333333
16.5,24.7,12,1017.4,82,0.6,8,13,264.9166666666667
16.6,22.2,10.2,1015.4,65,1.8,10,20.6,404.5
18.2,25.1,12,1014.4,77,0.6,5,11.1,188.5
15.6,23.2,10.9,1015.6,82,0.6,4.3,9.4,164.75
13,19,9.6,1016.9,85,0.8,10.7,16.5,376.9166666666667
12.3,19,8.9,1015.8,91,0.5,4.6,9.4,0.0
11.9,15.7,7.5,1018.9,86,0.8,6.1,11.1,0.0
12,17,6.7,1019.8,75,1.3,7.6,13,57.0
11.7,18,6.4,1017.3,76,0.8,4.4,13,202.91666666666666
14.6,21,6.8,1015.6,81,0.6,2.4,7.6,205.125
17.7,24,9,1014.5,69,1.4,4.4,9.4,214.125
17.4,27.2,12.2,1016.4,79,1.1,7.8,18.3,315.7916666666667
15.9,22.4,8.4,1017.6,66,2.4,7.2,16.5,322.25
15.2,22.6,6.6,1018.2,56,1.9,8.9,22.2,246.04166666666666
12.7,19.5,8,1017.6,69,1.3,8.3,18.3,200.91666666666666
15.6,24.6,10.7,1015.7,81,1.3,2.8,9.4,99.5
17.1,23.2,9,1017.1,69,1.8,5.9,11.1,143.91666666666666
17.6,24,10.1,1014.8,67,1.4,5.9,14.8,100.25
17.2,26,11.5,1014.7,65,2.3,5.7,14.8,165.0
17.7,24.4,9.7,1017,64,2.1,8,18.3,116.45833333333333
17.4,24.4,10.1,1018.9,61,2.3,6.1,11.1,143.0
23.1,30,15.6,1014.9,71,1.4,4.1,9.4,231.125
23.7,29.8,18.7,1014,75,1.4,11.1,18.3,218.66666666666666
20.9,27.8,15.8,1014.4,62,2.6,17.2,27.8,211.0
22.6,30.3,11.5,1015.4,57,2.4,5.4,11.1,52.208333333333336
22.7,30.4,12.8,1017.7,56,2.6,2.4,7.6,187.5
22.7,30.6,13,1018.4,58,2.4,3.3,7.6,130.16666666666666
25,31,15,1015.7,59,1.9,1.7,5.4,120.91666666666667
24.9,32.4,15.2,1015,57,1.9,1.7,9.4,153.625
26.8,33.4,15.7,1014.5,52,2.4,4.6,9.4,119.41666666666667
23.7,29.1,15.8,1011.9,67,2.1,5.2,11.1,110.70833333333333
23.4,29.1,17,1011.4,63,2.1,6.7,16.5,138.5
24.3,29,15.6,1011.7,56,1.9,10,18.3,39.291666666666664
24.3,31,16.8,1010.8,66,3.4,6.9,14.8,146.54166666666666
22.4,29.5,17.1,1014.1,68,3.4,6.3,16.5,116.625
24.1,29.2,14.5,1014.4,59,2.4,8.5,18.3,163.0
26.8,33,19,1008.8,61,2.3,3.5,11.1,100.04166666666667
27.1,33,19,1009.9,61,2.6,2.8,13,109.45833333333333
26.5,32.8,19.5,1010.5,45,2.9,12.2,25.9,103.08333333333333
29.8,36.2,18.2,1012.7,52,2.4,3.3,7.6,108.20833333333333
24.7,36.6,19.7,1012.8,66,2.4,9.4,14.8,103.83333333333333
26.2,32,19.5,1012.5,56,3.1,9.1,14.8,111.5
29.9,37,19.5,1008.3,39,2.7,4.4,9.4,101.79166666666667
30.4,37.5,21.6,1006.3,41,2.6,12,27.8,106.16666666666667
32.3,39,21.5,1007.3,39,3.4,5.4,13,89.875
33.4,39.1,24.8,1008,47,2.1,2.6,7.6,71.95833333333333
29.5,36.9,21.5,1007.2,41,2.3,11.3,16.5,47.041666666666664
29.3,36,18.8,1008.8,37,3.2,4.8,11.1,67.79166666666667
30.9,37,19,1008.9,33,2.6,6.9,14.8,65.45833333333333
31.6,38,23.2,1002.6,30,3.1,18.7,35.2,79.0
33.1,39,24,1003,26,2.6,10.4,24.1,123.58333333333333
33.6,40,23,1003.8,27,2.4,9.8,18.3,97.875
34,40.6,26.3,1005.5,29,2.6,13.9,22.2,87.875
33.9,39.6,25.8,1002.7,28,2.7,15.7,29.4,61.875
33.3,39.4,24.8,1000.7,28,3.1,8.3,18.3,82.125
33.4,40,21.2,1006.3,27,2.6,3.7,14.8,92.08333333333333
33.2,40.3,22.2,1005.1,29,2.3,5,14.8,105.75
34,40.7,22.2,1004.6,24,2.4,11.9,22.2,119.16666666666667
34.7,41.5,22,1001.7,24,2.3,8.5,16.5,90.5
38,44,23.8,1001.1,20,2.6,9.6,29.4,55.416666666666664
35.4,44,28,1003.2,35,2.7,6.5,18.3,79.29166666666667
33.2,38,25,1004.6,41,2.7,4.6,9.4,198.875
35.1,39.2,25.3,1005.1,40,2.4,7.2,11.1,120.70833333333333
33.8,39.8,27.6,1005.5,44,2.4,9.8,16.5,117.375
37.1,42,27.5,1000.7,30,2.9,8.3,18.3,79.0
36.5,43,27,1001.8,35,2.6,4.1,22.2,133.70833333333334
37.3,42.4,27.4,1002.4,32,2.6,4.8,14.8,87.08333333333333
37.3,43.7,28.6,997.4,44,2.6,9.4,22.2,65.16666666666667
37.3,42.8,31.2,996.2,49,2.6,8.3,14.8,83.58333333333333
36.2,41.5,30.7,995.3,50,2.9,10.9,18.3,86.91666666666667
32.9,39,27.4,996.6,50,2.4,9.4,27.8,48.125
34.6,39,26,998.4,49,2.4,6.7,16.5,103.16666666666667
37.4,41,30.6,998.8,31,1.9,14.1,27.8,119.70833333333333
32.7,37.5,24.7,1002.3,55,2.4,7.4,18.3,44.791666666666664
36,40,26.6,1001.7,46,3.1,9.1,22.2,71.95833333333333
37.7,42,30.7,1000.9,37,2.6,11.9,22.2,17.5
37.6,43,28.7,1001.2,42,2.4,2.8,11.1,87.08333333333333
34.6,40.3,28.7,1001.1,51,2.7,10.2,25.9,76.20833333333333
35.9,41,28.6,998.6,50,2.6,8.5,18.3,84.33333333333333
35.7,41.2,30,997.6,48,2.3,9.3,27.8,84.20833333333333
36,41,27.6,997.7,46,2.4,12.8,25.9,64.45833333333333
32.6,40.7,26,996.9,59,2.6,11.9,29.4,80.54166666666667
34.7,38,30.5,995.4,55,2.4,10.4,18.3,58.083333333333336
35.6,40,30,1000.7,57,3.1,9.4,25.9,54.666666666666664
31.1,40.1,26,999.8,74,2.4,7.6,14.8,78.54166666666667
32.9,38.6,27,999.7,64,2.4,8.9,16.5,73.0
35.5,39.9,31.2,999.7,60,2.4,9.8,18.3,65.875
34.9,39.6,29.6,999.6,61,2.4,7.8,14.8,72.41666666666667
34.4,39.4,26,998.3,63,2.3,8,14.8,71.29166666666667
32.2,39.8,25.4,995.4,73,2.3,8.3,14.8,113.33333333333333
28.4,36.6,24.4,998.1,82,2.4,5.2,9.4,146.20833333333334
29.6,32,25.7,997.6,80,2.3,2,7.6,65.375
33.6,36.7,28.8,996.7,66,5.8,5.9,11.1,60.625
30.7,36.9,28.8,996.8,78,2.3,5.4,27.8,71.0
33.3,37,27.8,996.2,68,2.6,6.7,11.1,57.041666666666664
31.1,34.2,27.8,997.8,78,2.6,6.9,24.1,134.95833333333334
30.4,35.4,26.7,997.8,82,2.1,5.2,14.8,81.125
31,35.2,26,997.9,80,2.4,7.2,18.3,197.66666666666666
32.4,35.2,26.2,999,72,2.9,13.5,25.9,160.375
34.1,37,28.5,998.5,63,3.2,13,22.2,99.375
34.1,37.2,29,998.4,61,2.6,11.5,22.2,123.875
31.9,35,28.3,1001.3,72,2.1,2.8,9.4,47.375
30.3,35,27.6,1002.6,83,2.3,6.5,16.5,38.166666666666664
28.3,35.8,26.8,1003.9,89,1.6,4.3,11.1,42.541666666666664
29.2,31,26,1000,85,1.8,4.6,13,25.083333333333332
29.1,32.6,26.4,998.6,85,1.8,5.9,13,45.833333333333336
30.9,35,26,997.4,73,2.6,6.5,11.1,33.708333333333336
32.6,36,26.2,997.8,66,3.4,5.6,9.4,31.875
33.3,36,26.4,999.7,67,3.2,7.8,18.3,30.666666666666668
33.4,36.5,28.6,999.9,66,2.9,9.8,16.5,29.958333333333332
31.2,36.7,28,997.8,75,2.7,9.1,14.8,47.458333333333336
29.9,34,25.5,1000.2,80,1.4,3.3,11.1,22.333333333333332
29,33.7,26,999.1,85,2.1,6.5,22.2,25.083333333333332
31.3,34.5,27,997.6,71,3.2,12.2,22.2,32.958333333333336
31.7,34,26.4,999,71,2.6,2,11.1,64.875
32.6,36,27.6,999.6,70,2.7,10.6,20.6,47.583333333333336
31.2,35.9,26.1,1000.4,71,3.2,8.7,18.3,48.291666666666664
31,35,26.8,1004.1,76,2.6,6.1,14.8,43.041666666666664
30.8,35.2,26.8,1005,76,2.7,3.7,18.3,38.416666666666664
27.3,33.3,24,1002.4,89,2.1,7.8,27.8,19.541666666666668
27.8,31,25.2,1001.3,88,2.4,4.6,7.6,22.833333333333332
30.7,34,25.5,1000.1,73,2.6,13.7,22.2,24.291666666666668
30.7,34,25,1000.5,65,3.4,12,27.8,25.291666666666668
31.1,35,25,1003.1,64,3.2,10.4,18.3,41.875
31.3,35,26,1004.6,63,3.2,11.5,18.3,50.583333333333336
31.4,36,26.7,1006.7,65,3.1,8.3,13,57.291666666666664
30.4,35.6,25.7,1006.5,72,2.9,4.3,14.8,38.25
31.7,37.1,26,1003.2,63,2.9,1.7,5.4,56.916666666666664
32.5,37.2,25.3,1003,59,3.1,1.7,7.6,54.625
32.6,37.4,27,1005.8,63,2.6,6.3,13,42.875
30.7,34.8,25.6,1004.5,66,2.6,3.3,11.1,52.25
31.4,35.2,26,1005.8,62,3.1,2,7.6,41.875
31.9,36,26.5,1007.2,66,2.3,2.4,7.6,0.0
32.4,36.4,27.5,1007.8,65,3.1,3.5,11.1,0.0
30.3,35,24.7,1007.3,62,2.3,7.6,18.3,70.70833333333333
