T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
12.8,22.6,4,1020,75,1.3,2,9.4,284.79583333333335
13.8,23,6.5,1020.7,79,1.1,0.9,3.5,219.72083333333333
13.5,23.4,6.7,1021.3,83,0.6,7.2,22.2,182.1875
13.2,20,7.1,1019.9,88,0.8,3.7,9.4,154.03750000000002
13.6,20.1,7,1017.5,85,0.8,6.9,14.8,223.20833333333334
13.5,20.4,8,1017.2,78,1.4,8.3,25.9,200.64583333333337
15.7,22.9,8.5,1019.6,82,1.3,3.1,3.5,285.22499999999997
13.3,23.5,8,1019.3,69,2.3,11.3,27.8,236.82499999999996
11.2,19.5,6,1018.7,80,1.6,7.2,14.8,276.90833333333336
14.8,25.4,5.7,1017.1,79,1.3,2,9.4,108.0
17.5,28.2,7,1015.5,79,1.3,2.2,3.5,107.625
16.4,28.7,11.5,1012.8,87,1.4,14.3,31.7,125.89166666666667
13.4,22,9.2,1020.2,87,1.8,4.1,7.6,181.01250000000005
12.2,19,6,1022.9,75,2.1,5.7,14.8,152.55416666666667
12.9,19.2,5.2,1022.9,73,1.9,16.3,38.9,152.32083333333335
15.5,21,8.2,1017.6,78,1.9,8.3,18.3,319.7375
16.3,22,11,1018.9,82,1.4,7.6,18.3,332.7083333333333
12.9,22.5,8.2,1018.8,92,0.8,10.2,22.2,279.59999999999997
13.8,20,9.4,1020.2,88,1.1,9.1,16.5,179.11666666666667
16.5,25.1,13.2,1012.4,96,1.6,16.9,46.9,54.791666666666664
14.9,20.4,7,1017.2,72,2.1,9.4,18.3,93.375
14.8,20.6,8.4,1019.5,71,2.6,11.3,18.3,103.0
19.3,25,11.4,1017.8,70,1.6,4.6,14.8,132.20833333333334
17.7,25.3,13.9,1015.2,88,1.4,11.3,33.5,127.70833333333333
17.6,23,11.8,1016.4,83,1.8,8.1,18.3,109.33333333333333
18.7,25.8,12,1014.3,78,1.9,5,14.8,56.458333333333336
18.3,24.5,14.5,1017.4,86,1.9,5,9.4,135.83333333333334
21.6,28,13.2,1015.9,72,2.9,9.4,16.5,122.5
16.2,23.8,9.2,1010.9,74,1.9,3.7,11.1,69.66666666666667
15.3,25.4,10.3,1011.2,80,1.9,5.6,14.8,79.83333333333333
14.3,21,9.5,1012.2,81,1.9,3.9,11.1,62.708333333333336
16.3,23.4,6.8,1015.7,66,1.9,4.4,14.8,21.208333333333332
15.2,24.1,12.8,1016.3,91,1.1,5.4,14.8,1.9166666666666667
17.1,22.4,12.8,1011.8,87,1.9,3.7,11.1,1.8333333333333333
19.5,26,9,1012,55,2.7,5.7,16.5,105.83333333333333
20.4,26.5,10.8,1013.4,60,2.7,5,14.8,117.58333333333333
20.6,26.5,12.6,1014.1,59,3.4,7.8,14.8,122.70833333333333
18.6,25,11.8,1016.7,71,2.6,7.6,18.3,59.208333333333336
20.2,26,10.4,1017.7,64,2.7,6.9,11.1,77.20833333333333
24.1,31,12.8,1009.6,58,2.6,3.3,7.6,98.70833333333333
26.9,34,15.5,1009.2,51,2.9,5,14.8,123.70833333333333
25.6,34.1,16.6,1012.3,44,2.7,3.7,7.6,64.79166666666667
24.4,32.1,17.6,1012,55,3.5,8.9,14.8,52.333333333333336
24.2,30.4,16.2,1013.7,57,3.2,10.7,24.1,52.041666666666664
25.1,31.4,15,1013.3,53,3.5,10.7,25.9,128.33333333333334
28.8,39.2,21,1007.6,35,3.7,12.6,27.8,0.0
27.7,34.3,17.6,1008.5,41,3.9,12.4,22.2,23.208333333333332
27.6,35,16.2,1008.8,42,3.9,5,14.8,15.166666666666666
29.2,37,17.6,1008.1,41,3.5,9.1,18.3,21.25
30.8,37.8,22.4,1006.2,57,1.8,10.7,35.2,81.83333333333333
29.4,36,20.2,1006.5,52,2.6,5.9,18.3,105.33333333333333
30.2,37,20.4,1005.5,48,3.2,4.6,11.1,117.75
31.4,38,21.6,1007.8,42,3.7,12.8,25.9,84.5
32.2,38,21.8,1006.8,40,4.5,9.8,14.8,46.916666666666664
33.6,40,25.5,1006,36,3.7,9.4,18.3,104.625
27.5,32,18.2,1007.9,50,3.7,9.4,14.8,110.875
29.2,35,19.8,1005.2,46,3.4,5.7,14.8,42.958333333333336
31.1,37.2,20.6,1004,41,3.5,9.3,20.6,0.0
34.8,41,25.4,1003.3,26,2.9,11.7,22.2,0.0
34.8,42,23.4,1001.8,30,3.1,8.7,18.3,0.0
34.4,43.7,24.4,999.7,39,2.6,5.4,13,94.75
33.5,41.3,25.8,1002.9,45,2.7,11.9,25.9,142.5
33.5,41.2,21.8,1001.9,40,2.6,10.7,25.9,147.83333333333334
35.3,42,23.6,1001.2,38,2.7,11.5,24.1,158.29166666666666
36.1,42,26.4,1000.6,38,2.6,13.7,25.9,149.58333333333334
33.3,40,25.4,1003.9,52,1.9,8.9,31.7,101.5
30.8,40.2,20.8,1003.9,60,3.1,5.6,14.8,106.5
29.4,36,23,1004.5,72,2.3,8,18.3,128.125
33.7,40,25,1002.4,45,2.6,8,27.8,89.54166666666667
29.8,40.4,23.8,1003.8,60,3.2,11.1,25.9,87.25
32.5,37,24.5,1002.6,41,3.7,11.5,25.9,107.625
36.6,43,24.6,998.9,30,4,9.1,18.3,97.625
37.6,44.8,27.6,998.3,40,3.1,7.8,13,38.666666666666664
37.3,43.5,30.8,998.4,44,2.7,9.4,18.3,45.375
35.9,42.5,29.4,998.8,47,2.7,11.9,18.3,65.16666666666667
35,43.9,26.4,1001.9,46,3.4,7,11.1,66.08333333333333
37.9,43,28,1000.5,36,3.1,6.7,16.5,77.66666666666667
37.4,44,27.2,996.8,34,2.7,5.6,18.3,70.25
37,41.6,29,997.8,38,3.2,9.8,18.3,56.291666666666664
37.6,44,29.2,997.1,29,3.4,11.3,24.1,77.0
37.9,43.7,27.8,997.7,28,2.9,14.4,37,32.958333333333336
32.2,37,24.2,1000.3,53,2.9,6.1,11.1,80.625
33.5,39,25.4,1000.9,50,3.5,6.7,13,90.70833333333333
35.1,39,28.2,1000.1,50,3.1,5.7,14.8,97.29166666666667
35.8,41,29.6,997.5,52,2.7,6.7,18.3,40.375
35.3,41.1,28.6,996.1,49,2.4,8,18.3,49.416666666666664
36.8,42.2,30.6,996.3,45,3.1,7.6,14.8,61.875
34.9,41.6,30,996.8,53,2.6,6.5,11.1,0.0
34.9,38.4,30.6,997.5,58,1.9,8.1,11.1,29.666666666666668
33.7,37,28.6,994.1,65,2.7,6.7,14.8,43.666666666666664
31.6,36.7,28.8,995,70,2.7,9.6,18.3,29.833333333333332
35.6,40,31.2,996.7,53,2.6,13.7,27.8,35.208333333333336
34.3,39.6,28.4,995.8,58,2.7,11.3,20.6,37.625
29.1,37.7,24,997.1,79,2.4,7.6,27.8,41.458333333333336
31.9,36,25,1000.9,69,2.7,5.4,9.4,38.583333333333336
30.7,37,26,1001,77,2.4,5.2,27.8,36.0
30.6,36.7,25.6,1000.6,78,2.7,6.3,14.8,70.58333333333333
28.7,37.8,25,998.2,81,2.4,7.2,16.5,33.166666666666664
28.6,32,26.2,996.7,86,2.1,7.6,14.8,38.25
28.7,32.5,25.4,997.6,88,1.9,8.9,16.5,26.583333333333332
31.9,35.1,27.8,999.5,73,3.2,6.7,13,15.416666666666666
32.9,37,27.8,998.5,68,3.2,7.8,13,41.375
30.9,36.9,28,998.2,76,2.6,6.9,18.3,25.541666666666668
30.1,34.6,27.4,997.9,81,2.1,7.6,18.3,28.375
30.9,35,25.6,995.1,77,2.4,7.2,14.8,50.333333333333336
31.5,37.9,28.4,997.4,73,3.4,15.4,27.8,31.916666666666668
30.4,35,26.6,1000.9,81,2.9,8.5,18.3,35.291666666666664
30.5,35.5,25.6,1000.7,83,2.3,4.3,9.4,26.833333333333332
30.6,35,24.8,1000.5,78,2.9,10,24.1,21.125
30.7,34,23.6,1003.7,70,2.7,6.1,14.8,35.708333333333336
31.4,35,25.6,1002.5,70,2.6,8.3,16.5,43.583333333333336
32,36,24.8,1002.1,69,2.9,8.1,18.3,46.041666666666664
29.3,34,26.4,1003.3,81,2.1,6.7,14.8,82.875
32.9,36.4,27.4,1001.5,67,3.1,5.4,13,30.666666666666668
33,36.7,29.2,998.8,68,2.6,5.9,11.1,34.416666666666664
29.9,37,26.4,1001.5,76,2.6,8,18.3,33.166666666666664
32.7,36.4,27.1,1000.8,69,2.7,4.3,11.1,30.625
29.9,37.2,27.2,1000.1,83,1.9,5.9,11.1,0.0
31.9,35.5,26.4,1001,74,2.1,3.9,9.4,0.0
32.2,36,28.3,999.5,70,1.9,3.9,11.1,0.0
32,35,28.8,1004.5,70,2.9,8.3,14.8,83.45833333333333
30.7,35.2,27.3,1003.8,78,2.3,5.4,10.7,71.66666666666667
29.1,35.1,25.1,1009.5,75,2.7,7.8,14.8,69.70833333333333
30.8,35,24.9,1007.5,68,3.1,6.7,13,62.375
28,35.3,24,1007.2,81,2.3,5.4,14.8,24.875
30.2,35,24.5,1011.6,68,2.9,7.2,13,43.958333333333336
28.5,34,25.4,1010.3,76,3.1,9.1,14.8,38.791666666666664
28.7,33,23.8,1008.3,74,2.9,6.7,11.1,30.333333333333332
28.8,34.4,21.4,1010.9,68,2.4,5.2,14.8,29.0
27.7,32.9,22.4,1011.6,61,2.4,8.1,18.3,61.708333333333336
27.2,32,20.2,1011.5,58,3.5,6.7,14.8,60.541666666666664
27.5,34,20.3,1010.9,60,3.1,3.3,11.1,41.583333333333336
27.8,33.2,20.8,1012.2,61,2.3,3.3,9.4,80.04166666666667
27.6,34,20.6,1012.6,63,2.3,3.7,9.4,82.83333333333333
27.3,34.7,19.8,1014.6,60,2.3,3.7,7.6,126.16666666666667
26,32.6,19,1014.2,54,2.3,5.6,14.8,136.70833333333334
24.7,32.5,17.2,1011.8,58,2.3,7.2,18.3,160.66666666666666
25.2,32.1,18.2,1012.4,61,1.8,3.9,11.1,245.66666666666666
24.9,30.9,17.6,1013.1,65,1.9,1.9,5.4,261.6666666666667
25.1,31.4,17.4,1012.7,57,1.8,6.9,14.8,272.4166666666667
24.7,32,16.8,1011.8,63,1,3,9.4,149.625
25.4,32,17.1,1011.9,66,0.6,1.7,5.4,99.70833333333333
24.5,31.7,18.8,1013.8,70,0.6,5,14.8,217.375
23.4,29.5,18.7,1014.6,74,0.6,7.8,14.8,309.375
20.6,32.3,17,1011,80,1,5.6,13,321.5416666666667
21.9,30,15.6,1013.7,72,1.4,3.3,11.1,278.0
21.6,30.1,15.6,1013.9,63,1.6,5.4,11.1,192.33333333333334
20.3,28.2,13.4,1016,71,0.6,0.9,3.5,224.16666666666666
20.2,28.3,15.4,1016.6,81,0.5,2.6,7.6,196.75
21.2,27.6,16,1015.3,75,0.5,1.5,5.4,221.54166666666666
19,26.8,12.3,1014.2,71,1.9,4.1,11.1,166.70833333333334
19.1,28.2,11.4,1015.1,70,1.9,0.4,3.5,130.70833333333334
19.3,28.9,12.5,1016.9,72,1.3,0.7,5.4,194.70833333333334
20,26.8,13.7,1016.2,74,1.4,1.1,5.4,134.45833333333334
20.7,27.2,16.2,1015.5,70,1.9,4.3,9.4,110.0
20.4,27.9,14.5,1015.5,76,1.4,5.6,9.4,160.0
15.7,23.2,9.4,1017.3,78,1.6,4.1,11.1,118.91666666666667
15.4,23.4,8,1017.8,72,1.8,5.6,14.8,176.375
15.4,24.3,9.1,1017.3,66,1.8,5.7,16.5,185.95833333333334
15.1,24.2,9.3,1019.1,85,1.3,0.6,25.9,239.125
15.3,24.8,8.7,1019,78,1,1.5,7.6,365.2916666666667
14.8,23.8,7.7,1018.3,76,1.1,1.9,7.6,312.2083333333333
15.2,21.5,12.4,1014.4,94,1,7.2,11.1,121.33333333333333
14.7,18.7,9.7,1020.3,88,1.4,3,5.4,202.875
14.2,19.2,9.8,1020,87,1.3,6.5,11.1,260.1666666666667
10.3,18,5.2,1018.8,94,0.3,3.1,7.6,277.7083333333333
12.1,17.4,6.4,1016.8,91,0.3,5.7,11.1,284.1666666666667
12.6,17.5,8.8,1017.9,90,0.6,5.7,9.4,288.4166666666667
8.4,17.2,6,1019.4,93,0.8,8.1,11.1,166.91666666666666
8.8,13,5.4,1018.6,85,0.6,4.6,7.6,169.0
8.6,13.6,4.2,1019.6,83,0.6,3.3,7.6,186.04166666666666
8.1,14.7,4.8,1021,84,1,4.8,9.4
